source_coral_id,source_location,source_site,source_depth_ft,source_lat,source_lon
100*,EXU,normans_pond_cay,7,23.78944,-76.13867
101*,EXU,rock_near_adderley_cay,7,23.78573,-76.11737
125,NAS,schoolhouse,12,24.9802,-77.50072
126*,NAS,schoolhouse,NA,NA,NA
133,BIM,ocean_cay,43,25.4004,-79.22556
134,BIM,ocean_cay,43,25.4004,-79.22556
94,NAS,bond_nursery,NA,NA,NA
95,NAS,bond_nursery,NA,NA,NA
96,NAS,bond_nursery,NA,NA,NA
42,CEI,john_millars_blue_hole,14,24.676472,-76.216333
43,CEI,john_millars_blue_hole,14,24.676472,-76.216333
44,CEI,john_millars_blue_hole,14,24.676472,-76.216333
45,CEI,john_millars_blue_hole,14,24.676472,-76.216333
49,CEI,schooners_cay,13,24.885667,-76.390472
51,CAT,sanctuary,30,24.14308,-75.32766
52,CAT,pauline_palace,54,24.14308,-75.35776
53,CAT,sand_patch,45,24.14266,-75.35742
54,CAT,coral_forest,23,24.143556,-75.330583
55,CAT,baby_anchor,27,24.143361,-75.329556
